publication_external_id,title_semantic_similarity,title_faithfulness,tldr_semantic_similarity,tldr_faithfulness,references_semantic_similarity,references_jaccard_similarity,references_faithfulness,tags_semantic_similarity,tags_jaccard_similarity,tags_faithfulness,content_coherence
ljGAbBceZbpv,0.9083361687067424,0.25,0.9339037701887791,1.0,0.8975067171990893,0.0625,0.625,0.8938946630145513,0.2,0.2,0.9
tum5RnE4A5W8,0.8952619878261329,0.5,0.9797062806410368,1.0,0.9251600196463503,0.0,1.0,0.8831451189360794,0.14285714285714285,1.0,0.9
qWBpwY20fqSz,0.8948916769350779,0.0,0.9552188457677483,1.0,0.9541107054578438,0.03571428571428571,0.2857142857142857,0.8958716328543819,0.12,0.0,0.7
yzN0OCQT7hUS,0.8602694009704406,1.0,0.967635522106678,0.6666666666666666,0.9483509669495175,0.1,0.0,0.8999528613519845,0.041666666666666664,0.8,0.9
SBgkOyUsP8qQ,0.8850960194052,0.75,0.9806078644050551,1.0,0.8840538629834773,0.0,0.0,0.8474572688808985,0.0,0.5,0.9
r95vGYcr1shK,0.9071242870302941,0.6666666666666666,0.9663045684449666,0.6666666666666666,0.9612250509549747,0.42857142857142855,1.0,0.8548436071083503,0.1875,0.7777777777777778,0.9
0llldKKtn8Xb,0.8915696363778265,0.0,0.9792106243248032,1.0,0.8964734979615036,0.0,0.0,0.8477406119134282,0.043478260869565216,0.2,0.9
WsaE5uxLBqnH,0.9062809209320856,0.0,0.9619402804786674,1.0,0.8877729426752007,0.0,1.0,0.8155125344917986,0.04,0.5,0.9
8z9g5Mn7WaQ2,0.85826997997244,0.0,0.921785984209361,0.875,0.8715410997714254,0.0,0.0,0.8403807514342609,0.047619047619047616,0.7,0.9
wPd15bsNRDcF,0.8993906784150878,0.6666666666666666,0.9587458277851417,0.3333333333333333,0.8439545626715712,0.0,0.0,0.7890275921973927,0.0,1.0,0.9
DM3Ao23CIocT,0.8676033531318649,0.75,0.9446558017543445,0.8888888888888888,1.0,1.0,1.0,0.8499608814401995,0.14285714285714285,0.7,0.9
pCgumBWFPD90,0.8423544304724833,0.6666666666666666,0.9378800035589909,0.8181818181818182,0.9396207672725578,0.0,1.0,0.9184472107355974,0.2727272727272727,1.0,0.8
f7jkvoxhGkWT,0.8743280596894728,0.3333333333333333,0.8920078485587114,1.0,0.9046566833262977,0.03571428571428571,0.0,0.8523257125272227,0.05555555555555555,1.0,0.9
9VFqBbmNw65U,0.8286386834145338,1.0,0.9701606719525246,1.0,0.7220799512130108,0.0,0.0,0.8102803527946287,0.0,0.4,0.9
iSUvjnognEEL,0.8608133171368448,1.0,0.9785071434805314,1.0,0.9999663126496797,1.0,1.0,0.8001641085027464,0.05263157894736842,0.9,0.85
Sp2HOfRpH4Fl,0.8635623421401175,0.6666666666666666,0.8972976445748655,1.0,0.8183777095770267,0.0,0.0,0.7550802746876474,0.0625,0.0,0.7
Gq1xQ27DmJ56,0.8655829899120336,0.3333333333333333,0.9468455755181686,1.0,0.8819033258154265,0.0,1.0,0.8309209879386159,0.0,0.5,0.8
D3vJsJh1500g,0.8755550553696376,0.6666666666666666,0.9510502024701997,0.6,0.8665003692583386,0.0,1.0,0.8408595879327841,0.05,0.5,0.85
qtRz3uuXGx5Y,0.8565637894795183,0.3333333333333333,0.9165111646156016,0.5833333333333334,0.8375116391383886,0.0,0.0,0.8137981774100966,0.0,0.75,0.8
